idChanged,first_nameChanged,last_nameChanged,emailChanged,genderChanged,salaryChanged,dateChanged,yearChanged,new_column
1,Nettie,Saylor,nsaylor0@youtu.be,Female,$14661.35,01-07-2023,2023,defaultValue
2,Derek,Feavers,dfeavers1@addtoany.com,Male,$18269.00,09-05-2023,2023,defaultValue
3,Terra,Bushill,tbushill2@skype.com,Female,$10300.86,19-06-2023,2023,defaultValue
4,Herby,Winser,hwinser3@ycombinator.com,Male,$12801.96,18-06-2023,2023,defaultValue
5,Marc,Robecon,mrobecon4@domainmarket.com,Male,$15596.18,27-08-2023,2023,defaultValue
6,Arlena,Spurett,aspurett5@jimdo.com,Agender,$16643.24,17-10-2023,2023,defaultValue
7,Christiano,Bromidge,cbromidge6@netvibes.com,Male,$13258.29,14-03-2023,2023,defaultValue
8,Holden,Cartwight,hcartwight7@theglobeandmail.com,Male,$16323.17,31-07-2023,2023,defaultValue
9,Ken,Ronaldson,kronaldson8@sciencedaily.com,Male,$18270.16,01-10-2023,2023,defaultValue
10,Garold,Sandwith,gsandwith9@timesonline.co.uk,Male,$16029.51,27-10-2023,2023,defaultValue
11,Nikolos,Reef,nreefa@amazonaws.com,Bigender,$19152.77,30-08-2023,2023,defaultValue
12,Sybyl,Berwick,sberwickb@hud.gov,Female,$17227.45,21-11-2023,2023,defaultValue
13,Zarla,Stables,zstablesc@addthis.com,Female,$19639.59,08-09-2023,2023,defaultValue
14,Margaret,Bamlet,mbamletd@cnet.com,Female,$16934.72,15-06-2023,2023,defaultValue
15,Tildi,Stirgess,tstirgesse@google.nl,Female,$19929.14,20-09-2023,2023,defaultValue
16,Salvador,Bouch,sbouchf@angelfire.com,Male,$16512.20,05-11-2023,2023,defaultValue
17,Sallyanne,Iglesiaz,siglesiazg@blogspot.com,Female,$17848.29,03-09-2023,2023,defaultValue
18,Caril,Molson,cmolsonh@unesco.org,Female,$11765.44,08-03-2023,2023,defaultValue
19,Denys,Martindale,dmartindalei@sbwire.com,Female,$10539.13,17-10-2023,2023,defaultValue
20,Quintilla,Divver,qdivverj@pagesperso-orange.fr,Female,$13976.09,22-07-2023,2023,defaultValue
21,Randell,Thraves,rthravesk@webmd.com,Male,$11407.17,20-06-2023,2023,defaultValue
22,Erastus,Mallon,emallonl@weather.com,Male,$19654.13,24-06-2023,2023,defaultValue
23,Ashli,Banton,abantonm@digg.com,Female,$11118.27,09-05-2023,2023,defaultValue
24,Orv,Heffernan,oheffernann@photobucket.com,Male,$16755.96,08-01-2023,2023,defaultValue
25,Royce,Chapman,rchapmano@businessweek.com,Male,$19742.60,29-09-2023,2023,defaultValue
